Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-1827.901	-2107.851	279.9499	1.200181	3.289233	0.859641	0.140359	3.728635
6	-1817.091	-2097.75	280.6587	1.128164	1.809927	0.903873	0.096127	3.782775
12	-1824.202	-2105.162	280.9602	1.116553	1.84464	0.929829	0.0701705	3.602476
18	-1835.253	-2113.918	278.6649	1.089984	3.423194	0.990896	0.00910403	4.493518
24	-1820.131	-2099.612	279.4814	1.034994	1.843491	0.888798	0.111202	4.493518
30	-1824.179	-2103.389	279.2104	1.20045	2.547108	0.928799	0.0712009	4.335479
36	-1827.171	-2106.64	279.4686	1.269674	2.547108	0.888354	0.111646	4.149864
42	-1833.714	-2114.437	280.7222	1.245761	2.547108	0.877837	0.122163	3.441423
48	-1825.928	-2107.193	281.2643	1.294949	2.20492	0.964435	0.0355648	3.196592
54	-1813.836	-2095.021	281.1847	1.339116	2.20492	0.878318	0.121682	3.217579
60	-1819.106	-2099.681	280.575	1.336501	2.178028	0.898505	0.101495	3.585142
66	-1816.222	-2098.262	282.0405	1.44129	2.207617	0.931001	0.0689994	2.638694
72	-1816.32	-2096.471	280.151	1.498385	5.081456	0.830547	0.169453	3.091226
78	-1816.629	-2098.532	281.9026	1.734928	2.403126	0.937077	0.0629229	2.478192
84	-1822.015	-2103.268	281.2531	1.279754	2.837703	0.919802	0.0801985	3.027569
90	-1821.906	-2102.48	280.5733	1.33486	1.899117	0.919802	0.0801985	3.680684
96	-1808.914	-2089.123	280.2088	1.110402	1.599238	0.919802	0.0801985	4.130695
102	-1819.522	-2100.138	280.6165	1.133131	2.285355	0.897663	0.102337	3.645565
108	-1827.55	-2107.291	279.7415	1.27975	4.041187	0.911021	0.0889793	3.645565
114	-1835.548	-2116.182	280.6343	1.258018	3.903833	0.899388	0.100612	3.162135
120	-1836.033	-2117.39	281.3573	1.26795	2.623588	0.893197	0.106803	3.03102
126	-1827.792	-2108.549	280.7566	1.314971	2.537891	0.904263	0.0957368	3.383349
132	-1824.841	-2103.682	278.8406	1.101506	3.460264	0.776263	0.223737	4.380106
138	-1828.992	-2110.22	281.2282	1.257845	2.521954	0.776263	0.223737	3.143212
144	-1830.209	-2109.949	279.7399	1.185571	2.521954	0.88717	0.11283	4.050236
150	-1832.567	-2111.258	278.6916	0.9918671	2.521954	0.945825	0.054175	4.751028
156	-1819.278	-2099.6	280.3223	1.112674	2.077888	0.94177	0.05823	3.892509
162	-1819.202	-2098.728	279.5259	1.053399	2.938973	0.949706	0.0502944	4.138419
168	-1832.499	-2111.06	278.561	0.9446721	1.909556	0.963079	0.0369207	5.035419
174	-1820.099	-2098.034	277.9349	0.8945081	1.947427	0.956706	0.0432935	5.396796
180	-1841.531	-2118.941	277.4098	1.157999	2.449053	0.953816	0.0461842	5.389976
186	-1818.909	-2098.741	279.8325	1.035506	2.732053	0.917952	0.0820475	4.026389
192	-1817.45	-2094.313	276.8628	0.9949873	2.92038	0.850954	0.149046	5.659751
198	-1828.784	-2107.168	278.3839	1.097309	2.245763	0.692594	0.307406	4.942496
204	-1823.881	-2104.274	280.3935	1.159296	2.682331	0.805053	0.194947	3.645826
210	-1832.857	-2110.625	277.7683	0.9510781	2.167829	0.738866	0.261134	5.387677
216	-1837.287	-2117.01	279.7232	1.183178	3.757095	0.675462	0.324538	3.76842
222	-1831.458	-2109.735	278.2767	0.9855719	3.762268	0.754273	0.245727	4.699992
228	-1824.396	-2103.57	279.1736	1.243709	1.920592	0.797972	0.202028	4.52256
234	-1835.032	-2115.499	280.4664	1.203637	2.637012	0.741271	0.258729	3.590079
240	-1840.437	-2121.225	280.7881	1.249371	1.943572	0.673008	0.326992	3.590079
246	-1834.905	-2115.728	280.8227	1.250016	3.144302	0.821287	0.178713	3.223694
252	-1829.887	-2110.612	280.7254	1.347342	3.323683	0.836434	0.163566	3.181147
258	-1837.147	-2118.024	280.8772	1.520092	3.295299	0.836434	0.163566	2.994138
264	-1819.035	-2101.195	282.1607	1.60586	2.570187	0.8143	0.1857	2.344711
270	-1805.937	-2086.532	280.5948	1.601876	4.271737	0.737578	0.262422	2.907051
276	-1815.853	-2096.631	280.7776	1.2309	3.197012	0.783624	0.216376	3.248969
282	-1812.915	-2094.196	281.2803	1.485274	3.210657	0.641315	0.358685	2.791914
288	-1820.558	-2100.884	280.3262	1.211366	4.981572	0.641315	0.358685	3.174336
294	-1812.735	-2094.45	281.7151	1.438375	4.55039	0.854172	0.145828	2.259285
300	-1818.521	-2099.876	281.3551	1.547912	4.616909	0.749529	0.250471	2.405964
306	-1829.008	-2111.416	282.4087	1.867761	4.52083	0.83525	0.16475	1.496237
312	-1819.449	-2101.058	281.6084	1.538379	3.620355	0.930814	0.0691864	2.459404
318	-1815.106	-2097.086	281.9797	1.538379	2.199052	0.930814	0.0691864	2.619144
324	-1819.666	-2101.734	282.0679	1.538379	3.066758	0.936451	0.0635485	2.305263
330	-1829.042	-2111.163	282.1215	1.532066	3.156382	0.76293	0.23707	2.251291
336	-1830.269	-2112.379	282.1096	1.269592	1.92486	0.76293	0.23707	2.800702
342	-1827.551	-2108.328	280.7772	1.444082	3.505695	0.71149	0.28851	3.051155
348	-1814.849	-2093.639	278.7893	1.258862	2.729947	0.925775	0.0742253	4.491425
354	-1821.384	-2100.649	279.2651	1.096215	2.729947	0.951562	0.0484382	4.314807
360	-1811.026	-2090.597	279.5715	1.260696	2.74267	0.951562	0.0484382	4.044014
366	-1818.536	-2098.781	280.2449	1.318508	2.792472	0.938272	0.0617283	3.610435
372	-1815.615	-2095.899	280.2838	1.36279	3.734428	0.865551	0.134449	3.342367
378	-1820.39	-2100.741	280.351	1.139576	2.517715	0.968791	0.0312087	3.727161
384	-1807.805	-2089.257	281.4516	1.16349	2.517715	0.852895	0.147105	3.067533
390	-1819.48	-2099.509	280.0296	1.304694	2.342029	0.803135	0.196865	3.868025
396	-1822.679	-2102.591	279.9118	1.138383	2.944498	0.83073	0.16927	3.868025
402	-1823.631	-2104.825	281.1933	1.286121	3.483243	0.788663	0.211337	2.901118
408	-1829.665	-2110.983	281.317	1.476018	2.892062	0.788663	0.211337	2.85639
414	-1824.961	-2106.735	281.7742	1.476018	3.187693	0.788663	0.211337	2.498755
420	-1820.577	-2102.121	281.5444	1.324826	3.213033	0.777855	0.222145	2.728026
426	-1819.711	-2098.678	278.9673	1.096545	3.940837	0.822346	0.177654	4.213611
432	-1824.4	-2105.699	281.2984	1.370712	3.958875	0.748199	0.251801	2.682043
438	-1812.731	-2094.167	281.4367	1.474852	3.342863	0.907309	0.0926908	2.670517
444	-1817.339	-2098.331	280.9922	1.669542	4.02258	0.907309	0.0926908	2.67333
450	-1831.925	-2112.544	280.6194	1.385258	4.857033	0.799657	0.200343	2.916037
456	-1842.641	-2123.744	281.1028	1.516219	2.739975	0.852567	0.147433	3.00229
462	-1836.425	-2115.042	278.6165	1.142551	4.751716	0.870952	0.129048	4.241467
468	-1826.249	-2104.658	278.4094	1.280136	2.768081	0.852984	0.147016	4.682899
474	-1823.434	-2102.539	279.1052	1.162316	2.986227	0.77998	0.22002	4.303791
480	-1825.622	-2104.4	278.7782	1.334689	4.146838	0.796786	0.203214	4.146703
486	-1833.22	-2112.776	279.5569	1.161171	4.108953	0.828521	0.171479	3.807675
492	-1829.507	-2109.381	279.8739	1.14607	3.598182	0.873041	0.126959	3.735935
498	-1830.376	-2110.253	279.8766	1.081281	3.770634	0.873041	0.126959	3.735935
504	-1826.558	-2106.676	280.1176	1.091329	3.112045	0.830886	0.169114	3.735935
510	-1817.955	-2098.139	280.1834	1.129749	2.467785	0.885526	0.114474	3.843573
516	-1825.596	-2105.339	279.7427	1.221217	3.270721	0.885526	0.114474	3.840094
522	-1840.036	-2120.489	280.4527	1.39713	4.517054	0.830377	0.169623	3.069397
528	-1825.817	-2106.188	280.3709	1.391524	4.381476	0.765433	0.234567	3.146385
534	-1817.682	-2099.399	281.7177	1.636001	4.036596	0.885679	0.114321	2.235587
540	-1829.08	-2111.262	282.1828	1.671783	4.440546	0.797203	0.202797	1.816481
546	-1819.229	-2100.51	281.2816	1.450028	3.891534	0.797203	0.202797	2.657711
552	-1840.999	-2123.728	282.7287	1.775874	3.200288	0.776319	0.223681	1.666484
558	-1819.86	-2102.032	282.1723	1.596337	4.098581	0.891924	0.108076	1.949347
564	-1834.368	-2116.151	281.7824	1.794618	5.031687	0.896249	0.103751	1.887703
570	-1830.726	-2113.293	282.5676	1.507588	3.486879	0.851281	0.148719	1.887703
576	-1829.147	-2110.023	280.8763	1.383203	3.508294	0.669713	0.330287	3.027716
582	-1832.814	-2114.855	282.0404	1.421434	3.032999	0.898151	0.101849	2.405953
588	-1836.547	-2118.269	281.7212	1.3701	4.021939	0.905427	0.0945727	2.405953
594	-1822.878	-2105.421	282.5434	1.351489	2.354166	0.881161	0.118839	2.331514
600	-1814.065	-2096.175	282.1104	1.318415	2.892028	0.885458	0.114542	2.464791
606	-1813.061	-2094.109	281.0477	1.386384	4.202267	0.822628	0.177372	2.776511
612	-1820.255	-2102.354	282.0991	1.439119	2.63245	0.965867	0.0341333	2.470085
618	-1826.575	-2107.86	281.2856	1.35571	3.656301	0.814341	0.185659	2.764027
624	-1826.566	-2107.46	280.8931	1.281181	2.557725	0.814341	0.185659	3.317344
630	-1834.012	-2113.862	279.8499	1.115249	3.631366	0.826124	0.173876	3.760564
636	-1827.43	-2106.858	279.4274	1.209046	3.695104	0.826124	0.173876	3.936193
642	-1823.712	-2104.815	281.1029	1.325016	2.975761	0.852479	0.147521	3.054375
648	-1819.896	-2099.202	279.3064	1.272837	3.240364	0.771803	0.228197	4.067205
654	-1811.369	-2091.699	280.3302	1.235826	2.851912	0.799243	0.200757	3.593499
660	-1804.779	-2085.576	280.7972	1.257621	2.60308	0.702277	0.297723	3.374811
666	-1806.397	-2086.172	279.775	1.103521	4.102857	0.889738	0.110262	3.716313
